MMSI,Longitude,Latitude,SOG,COG,Heading
316015121,-76.73335,44.18654,8.5,106.5,511.0
316015121,-76.71619,44.18106,8.5,126.2,511.0
316015121,-76.70659,44.17375,6.5,138.7,511.0
316015121,-76.71366,44.17956,8.5,133.6,511.0
316015121,-76.7032,44.1722,0.0,113.9,511.0
316015121,-76.70323,44.1722,0.0,109.1,511.0
316015121,-76.70319,44.17219,0.0,129.0,511.0
316015121,-76.70318,44.1722,0.0,154.7,511.0
316015121,-76.70315,44.17219,0.0,166.5,511.0
316015121,-76.70321,44.1722,0.0,96.8,511.0
316015121,-76.70785,44.17401,8.4,-96.8,511.0
316015121,-76.71296,44.17777,8.7,-92.2,511.0
316015121,-76.70318,44.17219,0.0,184.2,511.0
316015121,-76.70332,44.17226,1.8,-124.1,511.0
316015121,-76.71557,44.17981,8.8,-92.6,511.0
316015121,-76.71785,44.1816,8.8,-93.1,511.0
316015121,-76.72054,44.18367,8.5,-93.5,511.0
316015121,-76.7229,44.1853,8.5,-96.5,511.0
316015121,-76.72794,44.18821,8.1,-110.9,511.0
316015121,-76.73086,44.18896,8.0,-123.7,511.0
316015121,-76.73743,44.18965,8.0,-134.2,511.0
316015121,-76.70319,44.17218,0.0,145.7,511.0
316015121,-76.70319,44.17221,0.0,197.4,511.0
316015121,-76.70508,44.17251,6.8,-115.1,511.0
316015121,-76.74069,44.19252,1.9,17.7,511.0
316015121,-76.74053,44.19277,0.0,30.1,511.0
316015121,-76.74056,44.1928,0.0,4.5,511.0
316015121,-76.74031,44.1902,6.4,-100.2,511.0
316015121,-76.74054,44.19277,0.0,14.7,511.0
316015121,-76.71062,44.176,8.8,-92.0,511.0
316015121,-76.74058,44.19279,0.0,-71.1,511.0
316015121,-76.74057,44.19279,0.0,-64.3,511.0
316015121,-76.74059,44.19279,0.0,-57.9,511.0
316015121,-76.74058,44.19282,0.0,-84.5,511.0
316015121,-76.74057,44.19279,0.0,4.0,511.0
316015121,-76.74033,44.18905,7.9,151.1,511.0
316015121,-76.72536,44.18689,8.5,-99.8,511.0
316015121,-76.73763,44.18733,8.2,120.4,511.0
316015121,-76.7313,44.18532,8.4,113.2,511.0
