,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
3961,3961,316013007,2017-01-04T02:01:38,44.23262,-76.47702,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
6755,6755,316013007,2017-01-06T06:58:51,44.23262,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
33019,33019,316013007,2017-01-26T19:54:30,44.23263,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
30066,30066,316013007,2017-01-24T13:06:28,44.23257,-76.47624,-0.1,-49.6,95,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
21873,21873,316013007,2017-01-18T04:21:09,44.2326,-76.47705,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
24178,24178,316013007,2017-01-19T23:48:19,44.2324,-76.47522,-0.1,-49.6,106,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
39317,39317,316013007,2017-01-31T18:34:12,44.23262,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
15561,15561,316013007,2017-01-13T04:15:35,44.23261,-76.47702,-0.1,-49.6,99,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
6365,6365,316013007,2017-01-05T23:07:07,44.23261,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
11339,11339,316013007,2017-01-09T21:04:54,44.23261,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
39388,39388,316013007,2017-01-31T19:53:00,44.23261,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
17239,17239,316013007,2017-01-14T13:15:38,44.23261,-76.47705,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
25710,25710,316013007,2017-01-21T04:05:37,44.23261,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
15116,15116,316013007,2017-01-12T20:00:30,44.2326,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
1236,1236,316013007,2017-01-01T22:54:46,44.23261,-76.47700999999998,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
32950,32950,316013007,2017-01-26T18:38:28,44.2326,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
31670,31670,316013007,2017-01-25T18:56:18,44.23262,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
6307,6307,316013007,2017-01-05T22:01:52,44.2326,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
2195,2195,316013007,2017-01-02T17:18:08,44.23262,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
20639,20639,316013007,2017-01-17T05:28:59,44.23262,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
33343,33343,316013007,2017-01-27T01:55:18,44.23262,-76.47704,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
24237,24237,316013007,2017-01-20T00:53:46,44.2326,-76.47702,-0.1,-49.6,99,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
1234,1234,316013007,2017-01-01T22:52:35,44.23263,-76.477,-0.1,-49.6,96,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
